,Unnamed: 0,id,message_body,Category,Sub-Category
79,120,6468,I left the spot yesterday at approximately 6 pm. I thought I did check out in the app.,Inquiry,Update
80,121,6516,Thanks. Out of towner not used to all of the tech.,Inquiry,NOMATCH
81,122,6534,Left already,Departure,NOMATCH
82,123,6539,"It's a learning experience, but I'm figuring it out. ",Comment,NOMATCH
83,124,6659,Sorry I left,Inquiry,Update
84,125,6714,Z XS ooooh uh huh,Miscellaneous,NOMATCH
85,126,6715,I’m okay 👌🏼 understand us understand I I  ji I  ji iuiuuuukoi,Error,NOMATCH
86,127,6849,Start time 7:45 end time 6:00 clock,Inquiry,Location
87,128,6850,"I am not happy about , ",Complaint,NOMATCH
88,129,6851,And yesterday it did not work,Complaint,NOMATCH
89,130,6853,And I received a ticket,Complaint,Issue
90,132,6983,Your app doesn't work on this lot,Error,Issue
91,133,7136,"It wouldn't pick up that lots location, it was picking up a lot two blocks away ",Error,Location
92,134,7217,I can download the app but I already left the parking lot,Inquiry,NOMATCH
93,135,7218,I can't download the app,Error,Issue
94,137,7453,I am checking out of the spot,Inquiry,Reservation
95,138,7473,I left a while ago,Departure,NOMATCH
96,139,7493,This is not a recurring thing is it what I mean by that is is it going to keep charging me,Inquiry,Payment
97,140,7572,"Well instead of canceling, can I just extend my previous reservation to 12 p.m. tomorrow?",Inquiry,Extension
98,141,7577,Okay. I don't know what's exactly is going on. But now I have no reservation in the app at all. And the previous reservation that was restarted ended itself at 1:35 a.m. I really don't know what is happening with that now.,Inquiry,Update
99,143,7899,We are there we paid last night when we left.,Inquiry,Payment
100,144,7901,We left last night and paid when we left,Inquiry,Payment
101,145,8071,"Yes parked in the same number, 39",Inquiry,Location
102,147,8079,It's 39 right next to 38,Location,Location
103,149,8134,check out,Inquiry,Reservation
104,150,8154,I've been checked out,Checkout,Reservation
105,151,8398,I left since 7 pm,Inquiry,NOMATCH
106,152,8456,Charged 31 and not 11 it's a weekday.,Error,Payment
107,153,8519,Paid for a second spot did not get a confirmation. Now what?,Inquiry,Payment
108,154,8939,Leaving,Location,NOMATCH
109,155,8990,It's a wrong number for you,Error,NOMATCH
110,156,9017,Check-out,Checkout,Reservation
111,157,9060,How do you check out in the app,Inquiry,Receipt
112,158,9064,I'm pressing every option in this app and there is no option for check out. If there is maybe make it easier to find.,Inquiry,Update
113,160,9236,Unstop,Error,NOMATCH
114,161,9538,How do i check out? I left hours ago,Inquiry,Reservation
115,162,9568,left last night at 1145,Location,Update
116,163,9569,check out. don't have app,Inquiry,Cancellation
117,166,10771,Does this go by license plate numbers? If so I'm driving a different car from the one I usually drive. With a different plate number,Inquiry,Update
118,168,11006,Cannot get into app  I am leaving,Error,NOMATCH
119,169,11007,I don't have the app,Error,NOMATCH
120,170,11008,I'm leaving,Departure,NOMATCH
121,171,11011,I can't check out,Error,Cancellation
122,172,11016,I cannot get in to the app,Error,Issue
123,174,11103,Already gone,Departure,NOMATCH
124,175,11128,Cancel,Request,Cancellation
125,176,11205,I'm Driving  - Sent from My Car,Inquiry,NOMATCH
126,178,11508,Need to extend,Inquiry,Extension
127,179,11623,I have left but can't check out,Inquiry,Cancellation
128,180,11782,Checking out,Departure,Reservation
129,181,11784,We left at 730am,Time,Update
130,184,11869,It wont let me check out on the app,Issue,Issue
131,185,11873,Yes please,Request,NOMATCH
132,186,11929,"I left at 9:01, early. And your app doesn't work very well. ",Complaint,Issue
133,187,11934,I'm done. I need to check out,Checkout,Reservation
134,188,11937,How do i check out in app?,Inquiry,Receipt
135,189,12004,It stalled out at a point and wouldn't move to the next screen. I gave up after a few tries. And I had a good 5-bar connection at the time.,Error,Issue
136,190,12358,I have already left the spot.,Inquiry,Cancellation
137,191,12501,I have checked out but cannot down load the app,Error,NOMATCH
138,192,12756,Does the fee change from day to day?,Inquiry,Payment
139,193,12842,need help put wrong number in,Error,NOMATCH
140,194,12914,10-Apr,Inquiry,NOMATCH
141,197,13280,I am leaving,Departure,Cancellation
142,198,13292,We are leaving lot.,Departure,Location
143,199,13467,"Yes, why is my credit card saying $52 for parking when my receipt says $26",Dispute,Payment
144,200,13601,We left the parking place at 12:30,Location,Update
145,201,13602,I don't know how to check out,Inquiry,Issue
146,202,13605,We left 4 hours ago,Inquiry,NOMATCH
147,203,13641,And I believe I paid for 36 hours,Inquiry,Payment
148,204,13647,How much have I been charge so far?,Inquiry,Payment
149,205,13662,"Yes, we left before 6:15p",Confirmation,Update
150,206,13838,111 Jefferson,Location,Location
151,207,14099,I left a long time ago yestetday,Inquiry,NOMATCH
152,208,14331,Can you contact me,Inquiry,NOMATCH
153,209,14352,You have the wrong number,Inquiry,NOMATCH
154,212,14990,I moved it,Inquiry,NOMATCH
155,215,15196,Cae was removed already !.. You should send me back $12  dlls ; my account was charged $32 when your rate is $20 dlls  My car was there for only 1.5 hours.,Complaint,Refund
156,216,15198,Rate was $20 dlls,Inquiry,Payment
157,217,15201,Will dispute with the fiNOMATCHncial institution,Inquiry,Dispute
158,218,15329,Car has been moved,Issue,Issue
159,219,15383,unstop,Error,NOMATCH
160,220,15542,Aready moved,Inquiry,NOMATCH
161,221,15553,"I am uNOMATCHble to set my plate in the app, my plate is NVF1099 - Texas, but I have an MJR plate on the account",Error,Issue
162,222,15556,I need help with the wrong plate,Inquiry,Update
163,223,15563,How do I change it on the app?,Inquiry,Payment
164,224,15578,Waiting on bus...,Location,NOMATCH
165,226,15614,need a receipt,Request,Receipt
166,227,15677,Desde ayer ya no estoy hay,Inquiry,NOMATCH
167,228,15773,Is there anyway I can cancel,Inquiry,Cancellation
168,229,15803,I'm sorry never mind I'm comfortable with the spot,Inquiry,NOMATCH
169,230,15814,Another question like if I want to go somewhere to eat will my space get taken?,Inquiry,Issue
170,232,15933,Were gone already,Inquiry,NOMATCH
171,233,16040,We left an hour ago.,Inquiry,NOMATCH
172,234,16227,So will i be getting a refund for the parking today? I paid $32 for nothing and the towing company isn't budging. I have to give them 220 today,Inquiry,Refund
173,235,16404,We left yesterday after being parked only 45 minutes,Inquiry,Cancellation
174,236,16405,Why would you charge me more when you know we are no longer parked there,Inquiry,Payment
175,237,16453,We left,Inquiry,NOMATCH
176,238,16454,Cancel,Cancellation,Cancellation
177,239,16534,We have left,Inquiry,Cancellation
178,240,16656,WhT time is check out?,Inquiry,Update
179,241,16767,Removed,Cancellation,Cancellation
180,242,16872,Left 6 hours ago,Inquiry,NOMATCH
181,245,17055,Already left,Departure,NOMATCH
182,246,17233,Will call when we back in the truck.,Update,NOMATCH
183,247,17234,If it is available,Inquiry,Location
184,248,17237,We left a while back. And there is an error about a code.,Inquiry,Issue
185,252,17549,"I am trying to pay for parking for one of my vehicles that my partner is driving at the 111 Jefferson Street location in San Antonio, however since I am in Houston it will not let me select the parking lot.  The car is a Bronze Mitsubishi- Plate number is BFV-8715.  It is parked in Spot 20.  Why can't I select the parking lot even after NOMATCHvigating to it in the app?",Inquiry,Payment
186,254,17809,We left already,Inquiry,Cancellation
187,255,17813,I left already,Departure,Cancellation
188,257,17919,Running 10 min late. How do I extended another 30 min?,Inquiry,Extension
189,260,18162,we have left,Inquiry,NOMATCH
190,261,18197,have left At 3:00,Inquiry,NOMATCH
191,262,18408,I am in stall 2.,Location,Location
192,264,18565,Wrong number,Error,Issue
193,265,18755,We left at 300 pm we didn't know we had to check out,Inquiry,Update
194,266,18757,Send me the app,Request,NOMATCH
195,269,19109,Uh oh did I get towed,Inquiry,Issue
196,270,19110,I never moved it,Dispute,Issue
197,271,19116,GMC Sierra,Vehicle,Location
198,272,19117,Bronze brown,Error,NOMATCH
199,273,19121,Is there a monthly fee for parking there,Inquiry,Payment
200,274,19125,Is my truck there,Inquiry,Location
201,275,19126,I may have thought 6 was 9 or something,Confusion,NOMATCH
202,276,19135,Ok I'm leaving I checked out will that just charge my card,Inquiry,Payment
203,277,19272,Already left,Departure,NOMATCH
204,279,19971,"and the app isn't working, is okay to pay once i leave?",Inquiry,Payment
205,280,19973,I have parked in the parking lot,Inquiry,Location
206,281,19975,no one was there,Inquiry,NOMATCH
207,282,20005,no it wouldn't pop up on park quality,Inquiry,NOMATCH
208,283,20007,could i pay when i leave the lot?,Inquiry,Payment
209,284,20015,yeah I was in the parking lot but James ave parking lot wasn't showing up on the app and no employees was there & yes i am going back to the parking lot at 3:30,Inquiry,Issue
210,285,20067,"I didn't try, I was able to pay the employee ",Complaint,Payment
211,286,20260,i did pay yesterday through and employee and today too,Inquiry,Payment
212,287,20369,Spot no. 43,Location,Location
213,288,20411,I am out,Location,NOMATCH
214,289,20412,I have been out since 1:30 the apt is relling me I have an invalid phone number,Problem,Issue
215,290,20514,"Sorry, I did not know I needed to check out.  But I did leave number 45 parking spot about 3:30PM Sunday afternoon July 18th. ",Inquiry,Update
216,291,20629,"I'm in spot 12, not 21",Inquiry,Update
217,292,20635,I have just left the parking spot,Location,Location
218,293,20644,Will you please add two hours to my spot?,Request,Extension
219,295,20679,I have questions on where to make a claim,Inquiry,Issue
220,296,20680,I got charged twice,Inquiry,Payment
221,297,20828,Wrong person,Inquiry,NOMATCH
222,298,21116,Left already,Departure,NOMATCH
223,299,21472,Estoy abajo,Location,NOMATCH
224,300,21491,Who is this?,Inquiry,NOMATCH
225,301,21762,Sorry over slept on way I will pay,Apology,Payment
226,303,22836,Hi Sande is it going to charge me extra,Inquiry,Payment
227,304,22837,If so I do not want to pay more and will just leave from my parking spot,Complaint,Cancellation
228,305,22852,Hello I need a refund,Request,Refund
229,306,22882,Thanks for the heads up. I was uNOMATCHware of the checking out concept. We are now in spot #44.,Inquiry,Reservation
230,307,22896,I have left my spot,Inquiry,Issue
231,308,23118,Why is there is boot on my vehicle when I'm paid until 8:54pm?,Inquiry,Issue
232,309,23126,Yes the number is correct. I haven't moved it all day.,Update,Issue
233,310,23129,It didn't ask me to enter it,Error,Issue
234,311,23132,Ahh I had temporary plates and these are the new ones,Inquiry,Update
235,312,23133,Thank you I will figure out how to get the plates updated on the site,Inquiry,Update
236,313,23166,🤣 (sent with Invisible Ink),Error,NOMATCH
237,314,23371,It's no 26,Location,Location
238,316,23416,You have the wrong person . I have nothing To do with this.,Complaint,NOMATCH
239,318,23511,We moved it to #27 the correct spot,Update,Location
240,319,23513,I didn’t mean to book for 12 hours. I meant 2 hours. Can that be adjusted?,Inquiry,Update
241,320,23676,I just did...,Inquiry,NOMATCH
242,321,24310,I'm only parked for two hours. Why so expensive?,Inquiry,Payment
243,322,24416,Wrong number,Error,Issue
244,324,24962,We did forget to check out first time ever using this service didn't know we had to download the app,Inquiry,Update
245,327,25348,It's spot 63. I made a slight mistake,Inquiry,Update
246,329,25916,Left at 845pm,Location,Update
247,330,26164,231 i have paid $20 and the receipt does not reflect that I shoul be good through Saturday.,Inquiry,Payment
248,332,26167,Lmz3722,Inquiry,NOMATCH
249,333,26169,There is no one here.,Location,NOMATCH
250,334,26541,Downtown right now,Location,Location
251,335,26812,We left and it won't let us check out! Someone else is already in the spot,Issue,Issue
252,336,26965,"Check out, I can't get app to work",Error,Issue
253,337,27084,I put the wrong spot number in number 12,Inquiry,Update
254,338,27234,We left last night,Miscellaneous,Update
255,339,27691,Hi I meant to book the spot u Gil 5:44...I typed in the wrong amount of hours. Can I change that since it's a flat fee for the day?,Inquiry,Update
256,341,28849,You text the wrong   number,Error,NOMATCH
257,343,29431,EXPERIENCE,Complaint,NOMATCH
258,344,30499,We had to leave.  Some one was walking around the car on the phone like there were going to jack it. We were there 5min,Concern,Issue
259,345,31014,Where did u park,Inquiry,Location
260,346,31034,Removed at 1:30 but did not check out in app.,Error,Cancellation
261,348,31456,We have already left,Inquiry,Cancellation
262,349,31512,I left already,Inquiry,NOMATCH
263,350,31934,El sistema esta teniendo problema,Error,NOMATCH
264,351,31935,No pueden poner el espacio,Error,NOMATCH
265,354,32610,I left a while ago  why am I getting texts,Inquiry,Issue
266,355,32622,It's ok. Will I keep getting texts or all set now,Inquiry,Payment
267,357,32654,How do you check out I already left,Inquiry,Cancellation
268,358,32838,If I leave is my spot still reserved?,Inquiry,Reservation
269,359,33002,What happens if you did not check out,Inquiry,Cancellation
270,360,33057,N alamo and third,Location,Location
271,361,33147,"Thank you, my charge is then the amount I paid last night of $26 and some change?  I did not see we had to check out when we left.  I appreciate your feedback",Inquiry,Payment
272,362,33158,Got broken into will never use your services again,Abuse,Issue
273,363,33203,Where is this at,Inquiry,Location
274,364,33206,Where is it,Inquiry,Location
275,365,33208,No thanks not interested,Decline,NOMATCH
276,366,33212,What city and what state,Inquiry,Location
277,367,33280,I have never made reservation with you are in on in your organization,Inquiry,NOMATCH
278,371,33757,Pls correct the delivery address,Inquiry,NOMATCH
279,372,33758,Its always sent to the wrong address,Error,Issue
280,373,33759,My home is at,Location,NOMATCH
281,374,33760,8265 nw 34th street,Location,Location
282,375,33915,Nbiuiuhhyy Yggdrasil ty,Error,NOMATCH
283,379,34791,What Park is this and where are you located,Inquiry,Location
284,380,34796,Never mind,Cancellation,NOMATCH
285,381,35652,Where is my car?,Inquiry,Location
286,382,35673,Checkout,Error,Cancellation
287,383,35780,We been gone since wed,Inquiry,NOMATCH
288,384,35910,I am worried about it guide me what to do?,Inquiry,Issue
289,385,35915,Guide me soon because later on I will be not available cause I have to attend one meeting very soon.,Inquiry,Reservation
290,387,36267,Not sure what this is. Please cancel,Inquiry,Cancellation
291,389,36278,We're out of there,Location,NOMATCH
292,390,36279,I don't have the app so I can't check out,Inquiry,Issue
293,391,36335,The vehicle has been gone since 9:00 p.m. last night,Inquiry,NOMATCH
294,392,36646,But I extended it for the next 3 days,Extension,Extension
295,394,38331,"We will be there, just waiting for tour bus, please call, thanks",Inquiry,Reservation
296,395,38394,I have  a DV license plate.  Do I still have to pay?,Inquiry,Payment
297,396,38534,"Driving, can't text.  Sent from MY NV200",Inquiry,NOMATCH
298,397,38573,"Your rental pass for areNOMATCH 111 Jefferson, San Antonio has expired. Please click on the link below to renew. https://stagingmonthly.parkquility.com/?id=pqghju76d4&vehicle_no=ABCD1729&month=september&year=2021&email=sandeep.koduri%40parkquility.com&country_code=+1&contact_number=8332608774&first_NOMATCHme=sandy&last_NOMATCHme=k&pass_id=10014&pass_type=Premium",Notice,Update
299,398,39381,"The number you are sending an SMS to,currently has no SMS capabilities.",Error,NOMATCH
300,399,39391,I don't have a reservation,Inquiry,Reservation
301,401,41324,Can I leave and come back?,Inquiry,Extension
302,402,41582,We left at 5:15 on,Inquiry,Update
303,403,41638,I have left,Inquiry,Issue
304,404,41687,I left before 8 am 9/25 and checked out at the desk,Verification,Update
305,405,42114,I left at 11:15am,Inquiry,Update
306,406,42538,Jxtp13,Error,NOMATCH
307,407,42823,I left,Location,Issue
308,408,42842,I left a while ago,Departure,Issue
309,409,43028,Ignore,Request,NOMATCH
310,410,43089,"111 jefferson, san antonio parking lot app ",Location,Location
311,411,43285,By the way I put 20 dollars on the machine and it gave me a invalid ticket,Inquiry,Payment
312,412,43363,What the address,Inquiry,Location
313,413,43374,We left along time ago,Complaint,NOMATCH
314,414,43459,Yeah but where's my other $20 said you took in the machine that you charged me twice to park,Inquiry,Payment
315,415,43495,Didn't see where to check out in app,Inquiry,Issue
316,416,43705,We left at 5:30 pm,Inquiry,Update
317,418,44096,I don't know how to respond to that,Inquiry,NOMATCH
318,419,44107,LEFT ALREADY,Departure,Cancellation
319,420,44402,How can I add time,Inquiry,Extension
320,423,45371,Vehicle removed before midnight,Complaint,NOMATCH
321,424,45545,What happens if I move spots?,Inquiry,Location
322,425,45551,I don't have the app but we have left the lot.,Inquiry,NOMATCH
323,426,45554,How do I officially check out so I am not charged?,Inquiry,Payment
324,427,45678,Hello I left already but I don't know how to check out from the app,Inquiry,Update
325,428,46021,I checked out this morning. How do I stop all these text messages?,Inquiry,Update
326,429,46230,I left some time ago. I did not check out on an app. Never used this before. Please advise if I need to do anything further.,Inquiry,Update
327,430,46809,Wrong person,Inquiry,Issue
328,433,47406,I was able to figure it out,Resolution,NOMATCH
329,435,47409,Thank you. I just needed to add vehicle .,Inquiry,Receipt
330,437,47439,I have no idea what you are talking about. Lose my number,Abuse,NOMATCH
331,438,47447,I don't have a booking.  WRONG #,Inquiry,Cancellation
332,439,47674,My car is not there,Issue,Issue
333,440,47750,WRONG NUMBER!,Error,NOMATCH
334,442,48074,End reservation,Request,Cancellation
335,443,48076,Unstop,Error,NOMATCH
336,445,48504,Yes I put 20 dollars bill on the machine and I not got change back so what I can do,Complaint,Payment
337,447,49013,I tried to reserve spot 28 but the website is down,Inquiry,NOMATCH
338,449,49049,Spot 28,Location,Location
339,450,49056,210-510-8244,Inquiry,NOMATCH
340,451,49064,Sorry...should be 210-510-8244,Inquiry,Update
341,452,49066,Am I ok?,Inquiry,NOMATCH
342,453,49072,Thanks. And sorry I yelled at you Friday. I had a bad day and I shouldn't have taken it out on you. I really an a nice person in real life.,Apology,NOMATCH
343,454,49099,Much better and I owe you a beer!!!,Praise,NOMATCH
344,455,49306,My bad....I need the spot till 5pm,Inquiry,Extension
345,456,50187,Vehicle was stolen from spot,Inquiry,Issue
346,457,51147,[Auto Reply] Thanks for calling.I will Not be able to answer calls until 5pm.Teaching on a semiNOMATCHr. Thank you for understanding.,Notification,NOMATCH
347,458,51669,wrong person,Error,NOMATCH
348,459,51674,We left at 3pm,Inquiry,Update
349,461,53038,My Reservation at Spot #8? Whaaaaat?,Inquiry,Reservation
350,462,53069,how did u get my number?,Inquiry,NOMATCH
351,463,53529,This phone number is no longer in service.,Error,NOMATCH
352,464,54231,I need to update my license. How do I do this,Inquiry,NOMATCH
353,465,54235,370067F,Complaint,Receipt
354,466,54236,Hyundai elantra gray,Vehicle,Location
355,467,54238,Sorry. I just checked out. I dont need to update,Cancellation,Cancellation
356,468,54270,add time,Inquiry,NOMATCH
357,469,54695,"Sorry wrong person,  number",Error,NOMATCH
358,471,55084,How do I get a receipt?,Inquiry,Receipt
359,472,55348,Do I need to put a ticket on my car?,Inquiry,Location
360,474,55712,How do you add more time,Inquiry,Payment
361,475,56054,i left,Inquiry,NOMATCH
362,477,56963,Left 2 hours ago.,Inquiry,NOMATCH
363,478,57679,Do I need to get a ticket?,Inquiry,Location
364,480,57691,can i leave mj car ak are problem,Inquiry,Issue
365,481,57723,What do we owe to get the lock off my car,Inquiry,Payment
366,482,57729,"Yes, apparently I didn't finish the payment screen",Inquiry,Payment
367,483,57730,Took me a while to figure out the app,Inquiry,NOMATCH
368,484,57733,"But I am ok now, we caught an uber",Inquiry,NOMATCH
369,485,57736,I would like to be able to get the car back in a couple of hours,Inquiry,Reservation
370,486,58024,What do I do if someone is parked in my spot ?,Inquiry,Issue
371,487,58398,PSM-4964,Inquiry,Receipt
372,488,58399,License plate is different,Error,Update
373,489,59331,I'm at Walgreens on E Houston street getting my flu shot. I hope I entered the correct parking location but I paid. Thank you.,Inquiry,Location
374,490,60433,Can i extend it for another hour or 2?,Inquiry,Extension
375,491,60534,Stop,Error,NOMATCH
376,492,60657,My spot is 80,Inquiry,Location
377,493,60676,How do i extend the time at no additioNOMATCHl cost??,Inquiry,Extension
378,494,61039,Liked “Your parking reservation has expired. Please remove your vehicle from the spot immediately or you will be charged for additioNOMATCHl hours. Please ignore if you have left already.”,Warning,Cancellation
379,496,61360,Hi. How can pay the parking?,Inquiry,Payment
380,497,61763,My card was charged 42.00,Inquiry,Payment
381,498,61765,Why? I was only there for 2 hours and some change,Inquiry,Payment
382,499,62065,"If I have a trailer and take 2 spots, do I pay for both?",Inquiry,Payment
383,500,62090,"Because I paid on the phone, do I not need to display anything on my dashboard? ",Inquiry,Payment
384,501,62093,"Liked “Hi, you don’t need to display anything”",Inquiry,NOMATCH
385,502,62227,Leaving now,Location,NOMATCH
386,503,62429,How can I extended reservation for the same spot. ??,Inquiry,Extension
387,505,62689,Experience,Inquiry,NOMATCH
388,506,62780,Where the location ?,Inquiry,Location
389,507,62958,It has the wrong address,Error,Issue
390,508,63067,I need a refund someone took my spot I had already paid for,Complaint,Cancellation
391,509,63142,You have the wrong number,Error,NOMATCH
392,510,63176,We left when we realized you can't rent by the hour,Inquiry,Cancellation
393,511,63179,We left after we realized we could not rent by the hour and the price,Complaint,Issue
394,512,63263,Need location,Location,Location
395,513,63476,Cancel stop,Inquiry,Cancellation
396,515,63815,Can I get a receipt?,Inquiry,Receipt
397,516,63905,I have a different truck. Lic#cgcy40,License,Location
398,518,64070,Text 145 to 833 260 8774,Inquiry,NOMATCH
399,519,64071,Send me a screenshot so I can show the guy please,Request,NOMATCH
400,520,64072,My spot is #29,Inquiry,Location
401,521,64074,For the link,Inquiry,NOMATCH
402,522,64075,https://pay.parkquility.com/?id=pqabhishek,Request,Receipt
403,523,64077,By liscence plate is GBKV73,Location,Update
404,524,64078,Loved “https://pay.parkquility.com/?id=pqabhishek”,Inquiry,Receipt
405,525,64079,Sorry wrong box,Error,NOMATCH
406,526,64082,My debit catd keeps being declined,Error,Payment
407,527,64085,Removed a heart from “https://pay.parkquility.com/?id=pqabhishek”,Error,NOMATCH
408,528,64095,Someone is in our spot,Complaint,Location
409,529,64096,It's a black dodge Ram TX Plates KTB 1657,Location,Location
410,530,64097,Hello?,Inquiry,NOMATCH
411,531,64127,And it didn't say that at booking,Inquiry,Cancellation
412,532,64136,I did and called the company listed.  28,Inquiry,NOMATCH
413,534,64843,How do I change the time duration?,Inquiry,Extension
414,535,64883,I left long ago,Departure,NOMATCH
415,536,64910,I'm currently driving and uNOMATCHble to reply. Message sent automatically.,Notification,NOMATCH
416,538,65562,There wasn't a visible number next to 35 so I assumed 36,Inquiry,Issue
417,539,66038,I did this and another company put a boot on my car.,Problem,Issue
418,540,66039,They said this confirmation means nothing. It's subjective.....,Complaint,Issue
419,541,66064,I made my reservation too long on accident. How do I change it?,Inquiry,Update
420,542,66160,Probably til about midnight-ish. Definitely not til 1pm tomorrow 😭,Inquiry,NOMATCH
421,544,66317,Any luck?,Inquiry,NOMATCH
422,547,66478,Rcn 4805,Receipt,Location
423,549,66549,I'll get the diapers,Miscellaneous,NOMATCH
424,550,66557,Búscalo demás,Inquiry,NOMATCH
425,551,66620,Is that what you wanting?,Inquiry,NOMATCH
426,552,66846,The car has been removed,Complaint,Issue
427,553,67673,Can I go & back to the same spot during the 24 I paid for?,Inquiry,Payment
428,554,68045,Can we add another spot,Inquiry,Reservation
429,555,68159,Been gone,Inquiry,NOMATCH
430,556,68236,I already left last night so i better not get charged again,Inquiry,Cancellation
431,558,68354,Wont be what,Inquiry,NOMATCH
432,559,68396,okey wal                     2.../  me bj    everything   wjJKNsnjajaNOMATCHamreeivdbetfeteojsiwiieejdeqa job a bf a  i. my,Error,NOMATCH
433,561,68431,Does it matter what space you are in?,Inquiry,Location
434,563,68508,Do I need to do anything?,Inquiry,Payment
435,565,69138,312broadway,Location,Location
436,566,69356,Wrong license plate number,Error,Issue
